,UserId,Community
0,742143,0
1,800594,1
2,816653,0
3,961201,0
4,1934931,0
5,4970411,0
6,6980622,0
7,9466892,0
8,9522502,0
9,9567382,0
10,11716022,1
11,11966392,0
12,14048781,0
13,14208586,0
14,14853523,0
15,15416541,0
16,15617333,0
17,15982861,0
18,16334480,0
19,16337999,0
20,16426463,0
21,16615594,0
22,17164959,0
23,17542265,0
24,17593806,0
25,17626165,0
26,18038429,0
27,18713552,0
28,19136776,0
29,19445829,0
30,19651092,0
31,19879777,0
32,19979031,0
33,20709918,0
34,20745573,0
35,20869604,0
36,20878069,0
37,21352313,1
38,21478415,0
39,21606814,1
40,21985529,0
41,22311606,0
42,22394806,0
43,22985183,0
44,23244977,0
45,24346245,0
46,24405517,0
47,26281924,0
48,26686282,0
49,27761892,0
50,28123638,1
51,28785486,0
52,29711378,1
53,29982830,0
54,30142034,0
55,34698808,0
56,35743374,0
57,37048835,0
58,37609326,0
59,38469445,0
60,39524835,1
61,42411993,0
62,42998320,0
63,43714489,0
64,46127527,1
65,48510756,0
66,48641502,0
67,49018161,0
68,49043839,0
69,49125659,0
70,49761640,0
71,51195896,0
72,52881829,0
73,54640937,0
74,57869243,0
75,58769232,0
76,58894437,0
77,59214367,0
78,60472240,0
79,60828595,0
80,61547666,0
81,67629556,1
82,69209539,0
83,71107025,1
84,77872478,1
85,79381504,0
86,79498539,0
87,79797834,0
88,79896423,0
89,81450435,0
90,81466099,1
91,82340330,0
92,83465789,0
93,84622495,0
94,87062542,0
95,87081989,0
96,89450929,0
97,89850065,0
98,92819365,0
99,96535829,0
100,97936003,0
101,101910152,0
102,102348958,0
103,103415179,1
104,103979872,0
105,107171260,0
106,109854452,0
107,110596487,0
108,111429335,0
109,112991391,1
110,113216063,0
111,115561720,0
112,116973704,0
113,122768292,0
114,123267371,0
115,124066180,1
116,124548367,0
117,127047893,0
118,127689975,0
119,129027871,0
120,133776275,0
121,137715592,0
122,137913754,0
123,138535568,0
124,140791698,0
125,142962699,0
126,149292444,0
127,149514724,0
128,150398575,0
129,153160314,0
130,155624469,0
131,156494790,0
132,159214949,0
133,162094948,0
134,173320942,0
135,173949017,0
136,176051496,0
137,176705076,0
138,180779733,0
139,181107657,1
140,181127761,1
141,187140926,0
142,189689466,0
143,193554662,0
144,196442985,0
145,198965123,0
146,200782444,1
147,207601220,0
148,212979011,0
149,213623879,0
150,216641433,0
