your,now,tweet,home,featured,our,follow,&,us,you
0.105, 0.051, 0.044, 0.040, 0.030, 0.014, 0.014, 0.012, 0.012, 0.011
...,-,at,this,new,with,out,&,check,from
0.060, 0.040, 0.029, 0.018, 0.018, 0.017, 0.014, 0.013, 0.010, 0.010
was,world,last,cup,it,lol,2018,:d,2022,host
0.053, 0.034, 0.024, 0.022, 0.019, 0.018, 0.015, 0.013, 0.012, 0.011
...,-,wikileaks,by,us,#wikileaks,from,assange,with,u.s.
0.049, 0.025, 0.021, 0.014, 0.012, 0.011, 0.009, 0.008, 0.007, 0.007
twitter's,featured,wonderful,added,plus,jobs,morning!,hat,rate,economy
0.128, 0.016, 0.013, 0.011, 0.011, 0.011, 0.010, 0.009, 0.009, 0.009
ppl,australia,arsenal,employment,sales,chelsea,manchester,adp,cartoon,payroll
0.051, 0.016, 0.014, 0.012, 0.011, 0.010, 0.010, 0.010, 0.009, 0.008
tax,#p2,cuts,gop,#tcot,...,obama,senate,vote,bush
0.044, 0.023, 0.023, 0.022, 0.016, 0.015, 0.014, 0.014, 0.013, 0.012
rosa,#nowplaying,lol.,parks,her,listening,park,ago,dat,55
0.034, 0.033, 0.028, 0.026, 0.023, 0.023, 0.022, 0.019, 0.018, 0.018
!,,,#business,me:,post:,janeiro,angels,village,@thedailybeast:,cares
0.164, 0.043, 0.015, 0.012, 0.012, 0.011, 0.010, 0.008, 0.008, 0.007
/,????????????????????????????,teen,importance,somewhere,2000,flow,skin,uh,???????????????????????????????????????
0.117, 0.015, 0.011, 0.011, 0.010, 0.009, 0.009, 0.009, 0.009, 0.009
–,#iran,#iranelection,#usa,indonesia,#photography,health,re,written,pink
0.015, 0.014, 0.013, 0.010, 0.010, 0.009, 0.009, 0.009, 0.007, 0.007
dubai,van,darfur,tune,11,een,er,promo,het,op
0.027, 0.023, 0.021, 0.016, 0.014, 0.013, 0.013, 0.013, 0.011, 0.011
:,de,la,-,le,et,les,@youtube,di,à
0.079, 0.039, 0.031, 0.029, 0.027, 0.020, 0.017, 0.017, 0.017, 0.015
delivered,robert,happy,(,),hanukkah,pattinson,urge,kristen,soy
0.096, 0.027, 0.026, 0.024, 0.022, 0.021, 0.018, 0.015, 0.014, 0.010
@cnnbrk:,photo:,ma,/via,french,alaska,promote,20,$$,women's
0.045, 0.015, 0.015, 0.015, 0.014, 0.011, 0.010, 0.008, 0.008, 0.008
at,from,snow,&,nyc,weather,#cop16,green,-,due
0.027, 0.017, 0.017, 0.009, 0.008, 0.008, 0.007, 0.007, 0.007, 0.006
week,iphone,ranking,last,free,-,social,google,was,facebook
0.053, 0.047, 0.039, 0.035, 0.032, 0.021, 0.019, 0.019, 0.018, 0.013
via,|,by,-,?,@addthis,top,daily,stories,today
0.104, 0.057, 0.041, 0.039, 0.026, 0.026, 0.026, 0.023, 0.016, 0.014
you,my,that,it,have,be,are,not,just,get
0.029, 0.017, 0.016, 0.014, 0.012, 0.011, 0.011, 0.010, 0.010, 0.009
~,china,,....,dress,lincoln,cameron,jets,david,natural,entertainment
0.094, 0.013, 0.012, 0.011, 0.011, 0.010, 0.010, 0.010, 0.009, 0.009
#fb,#ukuncut,trust,birth,topshop,..,ford,ron,#football,btw
0.156, 0.028, 0.026, 0.014, 0.014, 0.013, 0.013, 0.011, 0.010, 0.009
$,(@,victoria,atlanta,knowing,year's,singing,religious,eve,liking
0.029, 0.023, 0.016, 0.015, 0.014, 0.012, 0.012, 0.011, 0.010, 0.009
???,??,????,?????,?,??????,???????,????????,?????????,??????????
0.167, 0.132, 0.117, 0.087, 0.080, 0.060, 0.044, 0.029, 0.023, 0.017
-,...,with,will,be,has,as,at,new,says
0.015, 0.014, 0.009, 0.008, 0.007, 0.007, 0.006, 0.006, 0.006, 0.006
;-),ones,wine,this?,wow,hip,:-),roads,az,anybody
0.025, 0.019, 0.016, 0.015, 0.012, 0.012, 0.010, 0.010, 0.009, 0.008
world,aids,(cont),day,&,#ff,please,today,hiv,...
0.057, 0.048, 0.042, 0.032, 0.022, 0.021, 0.015, 0.015, 0.014, 0.014
de,do,da,indy,mundo,em,no,na,como,é
0.075, 0.045, 0.032, 0.030, 0.027, 0.026, 0.023, 0.023, 0.020, 0.017
de,la,en,el,que,no,por,los,se,del
0.102, 0.051, 0.047, 0.044, 0.043, 0.025, 0.020, 0.019, 0.019, 0.018
-,>>,...,fire,@breakingnews:,police,air,as,after,@nytimes:
0.020, 0.019, 0.014, 0.011, 0.011, 0.011, 0.010, 0.008, 0.008, 0.008
are,#dadt,#breakingnews,about,who,not,they,what,more,their
0.016, 0.016, 0.015, 0.015, 0.014, 0.014, 0.013, 0.012, 0.012, 0.011
