Id,Text,CreationTimestamp,UserId,ModificationTimestamp
1,apple microsoft samsung sony computer monitor digital dell keyboard mouse http://A,12/1/2010 0:00,1,12/1/2010 0:00
2,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/1/2010 0:00,1,12/1/2010 0:00
3,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/1/2010 0:00,1,12/1/2010 0:00
4,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/1/2010 0:00,2,12/1/2010 0:00
5,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/1/2010 0:00,2,12/1/2010 0:00
6,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/1/2010 0:00,2,12/1/2010 0:00
7,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/1/2010 0:00,3,12/1/2010 0:00
8,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/1/2010 0:00,3,12/1/2010 0:00
9,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/1/2010 0:00,3,12/1/2010 0:00
10,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/1/2010 0:00,4,12/1/2010 0:00
11,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/1/2010 0:00,4,12/1/2010 0:00
12,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/1/2010 0:00,4,12/1/2010 0:00
13,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/1/2010 0:00,5,12/1/2010 0:00
14,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/1/2010 0:00,5,12/1/2010 0:00
15,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/1/2010 0:00,5,12/1/2010 0:00
16,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/1/2010 0:00,6,12/1/2010 0:00
17,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/1/2010 0:00,6,12/1/2010 0:00
18,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/1/2010 0:00,6,12/1/2010 0:00
19,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/1/2010 0:00,7,12/1/2010 0:00
20,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/1/2010 0:00,7,12/1/2010 0:00
21,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/1/2010 0:00,7,12/1/2010 0:00
22,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/1/2010 0:00,8,12/1/2010 0:00
23,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/1/2010 0:00,8,12/1/2010 0:00
24,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/1/2010 0:00,8,12/1/2010 0:00
25,apple microsoft samsung sony computer monitor digital dell keyboard mouse http://B,12/1/2010 0:00,9,12/1/2010 0:00
26,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/1/2010 0:00,9,12/1/2010 0:00
27,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/1/2010 0:00,9,12/1/2010 0:00
28,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/1/2010 0:00,10,12/1/2010 0:00
29,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/1/2010 0:00,10,12/1/2010 0:00
30,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/1/2010 0:00,10,12/1/2010 0:00
31,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/1/2010 0:00,11,12/1/2010 0:00
