Id,TweetId,Text,StartIndex,EndIndex,EntityTypeCode,Url,ExpandedUrl,DisplayUrl,Name,ScreenName,UserOrMediaId,MediaUrl,MediaUrlHttps,MediaType,MediaSize
1,1,http://A,,,2,http://A,http://A,http://A,,,1,,,,
2,25,http://B,,,2,http://B,http://B,http://B,,,9,,,,
3,50,http://C,,,2,http://C,http://C,http://C,,,17,,,,
4,75,http://D,,,2,http://D,http://D,http://D,,,25,,,,
5,100,http://E,,,2,http://E,http://E,http://E,,,34,,,,
6,125,http://F,,,2,http://F,http://F,http://F,,,42,,,,
7,150,http://G,,,2,http://G,http://G,http://G,,,50,,,,
8,175,http://H,,,2,http://H,http://H,http://H,,,59,,,,
9,200,http://I,,,2,http://I,http://I,http://I,,,7,,,,
10,225,http://J,,,2,http://J,http://J,http://J,,,15,,,,
11,250,http://K,,,2,http://K,http://K,http://K,,,24,,,,
12,275,http://L,,,2,http://L,http://L,http://L,,,32,,,,
13,300,http://M,,,2,http://M,http://M,http://M,,,40,,,,
14,325,http://N,,,2,http://N,http://N,http://N,,,49,,,,
15,350,http://O,,,2,http://O,http://O,http://O,,,57,,,,
16,375,http://P,,,2,http://P,http://P,http://P,,,5,,,,
17,400,http://Q,,,2,http://Q,http://Q,http://Q,,,14,,,,
18,425,http://R,,,2,http://R,http://R,http://R,,,22,,,,
19,450,http://S,,,2,http://S,http://S,http://S,,,30,,,,
20,475,http://T,,,2,http://T,http://T,http://T,,,39,,,,
21,500,http://U,,,2,http://U,http://U,http://U,,,47,,,,
22,525,http://V,,,2,http://V,http://V,http://V,,,55,,,,
23,550,http://W,,,2,http://W,http://W,http://W,,,4,,,,
24,575,http://X,,,2,http://X,http://X,http://X,,,12,,,,
25,600,http://Y,,,2,http://Y,http://Y,http://Y,,,20,,,,
26,625,http://Z,,,2,http://Z,http://Z,http://Z,,,29,,,,
27,650,http://AA,,,2,http://AA,http://AA,http://AA,,,37,,,,
28,675,http://AB,,,2,http://AB,http://AB,http://AB,,,45,,,,
29,700,http://AC,,,2,http://AC,http://AC,http://AC,,,54,,,,
30,720,http://AD,,,2,http://AD,http://AD,http://AD,,,60,,,,
